지역,시기,대분류,항목,유형,6열,7열,8열,9열,10열
전국,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,139,154,200
수도권,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,72,116,140,171,220
비수도권,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,112,132,150,179
서울(강남),4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,131,152,200,245
서울(강남외),4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,116,132,149,164
부산,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,150,177
대구,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,153,180
인천,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,136,150
광주,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,100,150,170,257
대전,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,140,140,-
울산,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,77,120,130,143,172
경기도,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,44,60,88,117,143
강원도,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,133,152,164,184
충청도,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,60,70,100,129,149
전라도,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,85,110,150,183
경상도,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,113,119,130,133,142
제주도,4월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,112,-,-
전국,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,139,154,200
수도권,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,72,116,140,171,220
비수도권,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,112,132,150,179
서울(강남),3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,131,152,200,245
서울(강남외),3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,116,132,149,164
부산,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,150,177
대구,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,153,180
인천,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,136,150
